Solution index,Edge index,Total cell-cell edges,Edges colored,Color percentage
6715,50,107,56,0.5233644859813084
6716,45,109,63,0.5779816513761468
6717,36,108,71,0.6574074074074074
6718,88,111,22,0.1981981981981982
6719,43,108,64,0.5925925925925926
6720,48,111,62,0.5585585585585585
6721,86,110,23,0.20909090909090908
6722,85,111,25,0.22522522522522523
6723,41,109,67,0.6146788990825688
6724,96,110,13,0.11818181818181818
6725,34,110,75,0.6818181818181818
6726,50,108,57,0.5277777777777778
6727,49,109,59,0.5412844036697247
6728,59,107,47,0.4392523364485981
6729,43,110,66,0.6
6730,49,107,57,0.5327102803738317
6731,49,107,57,0.5327102803738317
6732,46,109,62,0.5688073394495413
6733,85,108,22,0.2037037037037037
6734,42,109,66,0.6055045871559633
6735,88,110,21,0.19090909090909092
6736,72,108,35,0.32407407407407407
6737,46,108,61,0.5648148148148148
6738,44,110,65,0.5909090909090909
6739,69,109,39,0.3577981651376147
6740,73,108,34,0.3148148148148148
6741,40,109,68,0.6238532110091743
6742,51,108,56,0.5185185185185185
6743,42,110,67,0.6090909090909091
6744,48,109,60,0.5504587155963303
6745,53,110,56,0.509090909090909
6746,41,109,67,0.6146788990825688
6747,52,110,57,0.5181818181818182
6748,70,110,39,0.35454545454545455
6749,43,107,63,0.5887850467289719
6750,45,108,62,0.5740740740740741
6751,42,110,67,0.6090909090909091
6752,45,108,62,0.5740740740740741
6753,84,106,21,0.19811320754716982
6754,91,111,19,0.17117117117117117
6755,47,110,62,0.5636363636363636
6756,46,108,61,0.5648148148148148
6757,48,111,62,0.5585585585585585
6758,42,109,66,0.6055045871559633
6759,41,108,66,0.6111111111111112
6760,47,109,61,0.5596330275229358
6761,40,111,70,0.6306306306306306
6762,44,109,64,0.5871559633027523
6763,35,109,73,0.6697247706422018
6764,54,109,54,0.4954128440366973
6765,44,109,64,0.5871559633027523
6766,46,111,64,0.5765765765765766
6767,43,109,65,0.5963302752293578
6768,43,110,66,0.6
6769,47,111,63,0.5675675675675675
6770,87,108,20,0.18518518518518517
6771,53,109,55,0.5045871559633027
6772,41,110,68,0.6181818181818182
6773,70,110,39,0.35454545454545455
6774,80,108,27,0.25
6775,49,111,61,0.5495495495495496
6776,74,108,33,0.3055555555555556
6777,63,111,47,0.42342342342342343
6778,46,108,61,0.5648148148148148
6779,49,110,60,0.5454545454545454
6780,38,109,70,0.6422018348623854
6781,43,109,65,0.5963302752293578
6782,82,108,25,0.23148148148148148
6783,45,109,63,0.5779816513761468
6784,71,108,36,0.3333333333333333
6785,79,110,30,0.2727272727272727
6786,43,109,65,0.5963302752293578
6787,45,109,63,0.5779816513761468
6788,43,111,67,0.6036036036036037
6789,51,108,56,0.5185185185185185
6790,42,109,66,0.6055045871559633
6791,87,107,19,0.17757009345794392
6792,71,109,37,0.3394495412844037
6793,56,109,52,0.47706422018348627
6794,48,109,60,0.5504587155963303
